Gene stable ID	Gene stable ID version	Gene name	HGNC symbol	HGNC ID
ENSG00000172995	ENSG00000172995.17	ARPP21	ARPP21	HGNC:16968
ENSG00000134248	ENSG00000134248.14	LAMTOR5	LAMTOR5	HGNC:17955
ENSG00000291237	ENSG00000291237.1	SOD2	SOD2	HGNC:11180
ENSG00000129292	ENSG00000129292.21	PHF20L1	PHF20L1	HGNC:24280
ENSG00000198492	ENSG00000198492.16	YTHDF2	YTHDF2	HGNC:31675
ENSG00000103264	ENSG00000103264.18	FBXO31	FBXO31	HGNC:16510
ENSG00000179913	ENSG00000179913.11	B3GNT3	B3GNT3	HGNC:13528
ENSG00000140941	ENSG00000140941.14	MAP1LC3B	MAP1LC3B	HGNC:13352
ENSG00000050405	ENSG00000050405.14	LIMA1	LIMA1	HGNC:24636
ENSG00000253304	ENSG00000253304.2	TMEM200B	TMEM200B	HGNC:33785
ENSG00000248099	ENSG00000248099.4	INSL3	INSL3	HGNC:6086
ENSG00000145349	ENSG00000145349.20	CAMK2D	CAMK2D	HGNC:1462
ENSG00000116353	ENSG00000116353.16	MECR	MECR	HGNC:19691
ENSG00000130513	ENSG00000130513.7	GDF15	GDF15	HGNC:30142
ENSG00000204267	ENSG00000204267.19	TAP2	TAP2	HGNC:44
ENSG00000205629	ENSG00000205629.12	LCMT1	LCMT1	HGNC:17557
ENSG00000105656	ENSG00000105656.13	ELL	ELL	HGNC:23114
ENSG00000136960	ENSG00000136960.13	ENPP2	ENPP2	HGNC:3357
ENSG00000105642	ENSG00000105642.16	KCNN1	KCNN1	HGNC:6290
ENSG00000111291	ENSG00000111291.9	GPRC5D	GPRC5D	HGNC:13310
ENSG00000139269	ENSG00000139269.3	INHBE	INHBE	HGNC:24029
ENSG00000137745	ENSG00000137745.13	MMP13	MMP13	HGNC:7159
ENSG00000103375	ENSG00000103375.11	AQP8	AQP8	HGNC:642
